               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094652,             0.40938,            0.023424,             0.34228,             0.39862,             0.30313,             0.08322,            0.073903,             0.28821,            0.014202,           0.0033211,           0.0033211,             0.07011
                   1,            0.074709,             0.32556,            0.010376,             0.33328,             0.32176,             0.27655,            0.087245,            0.071149,              0.3654,            0.031092,           0.0066478,           0.0066478,            0.040104
                   2,            0.064607,             0.27591,           0.0071441,             0.93698,             0.92988,             0.95812,             0.51348,            0.045975,             0.18477,           0.0057233,            0.009968,            0.009968,            0.010091
                   3,            0.054488,              0.2388,           0.0059756,             0.95489,             0.96795,             0.97076,             0.64898,            0.038652,              0.1602,           0.0039197,           0.0099703,           0.0099703,           0.0099703
                   4,            0.050075,             0.22271,           0.0055013,             0.95755,             0.96769,             0.96999,             0.67788,             0.03659,             0.14797,           0.0035903,           0.0099703,           0.0099703,           0.0099703
                   5,            0.047506,              0.2122,           0.0052515,             0.96134,             0.97218,             0.97273,             0.73485,             0.03367,             0.14057,           0.0035238,           0.0099604,           0.0099604,           0.0099604
                   6,             0.04561,             0.20475,           0.0050867,             0.96031,             0.97159,              0.9741,             0.75515,            0.032393,             0.13881,           0.0032234,           0.0099505,           0.0099505,           0.0099505
                   7,            0.044409,             0.19812,           0.0048872,             0.96264,             0.97229,             0.97575,             0.78167,            0.030972,             0.12847,           0.0031109,           0.0099406,           0.0099406,           0.0099406
                   8,            0.043432,             0.19135,           0.0049215,             0.96866,             0.97223,             0.97587,             0.78786,            0.030267,             0.12204,           0.0031634,           0.0099307,           0.0099307,           0.0099307
                   9,            0.042724,             0.18896,           0.0046841,             0.96851,             0.97075,             0.97683,             0.79818,            0.029679,             0.12144,           0.0032583,           0.0099208,           0.0099208,           0.0099208
                  10,            0.042173,              0.1848,           0.0045935,             0.97205,             0.97027,             0.98184,             0.81198,            0.028861,             0.11734,           0.0031559,           0.0099109,           0.0099109,           0.0099109
                  11,            0.041305,             0.17898,           0.0045752,             0.97371,             0.97167,             0.98095,             0.81443,            0.028503,             0.11484,           0.0030615,            0.009901,            0.009901,            0.009901
                  12,             0.04082,             0.17656,           0.0044987,             0.97473,             0.97064,             0.98166,             0.82572,            0.028097,             0.11602,           0.0028339,           0.0098911,           0.0098911,           0.0098911
                  13,            0.040268,             0.17453,           0.0044549,             0.97539,             0.97095,             0.98531,             0.84198,            0.027145,             0.10849,           0.0028608,           0.0098812,           0.0098812,           0.0098812
                  14,            0.039953,             0.17203,           0.0042886,             0.97567,             0.97133,             0.98418,              0.8433,             0.02686,             0.10662,           0.0027587,           0.0098713,           0.0098713,           0.0098713
                  15,            0.039901,             0.17141,           0.0041764,             0.96424,             0.92306,             0.98651,             0.84257,            0.026855,             0.10764,           0.0037861,           0.0098614,           0.0098614,           0.0098614
                  16,            0.039136,             0.16832,           0.0040292,             0.97987,             0.96859,             0.98687,             0.85108,            0.026406,             0.10695,           0.0026184,           0.0098515,           0.0098515,           0.0098515
                  17,            0.039011,             0.16587,           0.0039891,             0.98139,              0.9686,              0.9891,              0.8613,            0.025882,             0.10082,           0.0026269,           0.0098416,           0.0098416,           0.0098416
                  18,             0.03872,             0.16482,           0.0038165,             0.98332,             0.97032,             0.98969,             0.86431,            0.025707,               0.102,           0.0025062,           0.0098317,           0.0098317,           0.0098317
                  19,            0.038331,             0.16275,           0.0038545,             0.98503,             0.97679,              0.9903,             0.86502,            0.025553,             0.10188,           0.0022513,           0.0098218,           0.0098218,           0.0098218
                  20,            0.037829,             0.15957,           0.0037466,             0.98529,             0.97201,             0.98883,             0.86904,            0.025246,             0.10027,           0.0022569,           0.0098119,           0.0098119,           0.0098119
                  21,            0.038075,             0.16051,           0.0037266,             0.98613,             0.97384,             0.99082,             0.87742,             0.02502,            0.099392,           0.0024665,            0.009802,            0.009802,            0.009802
                  22,            0.037808,             0.16019,            0.003635,             0.98725,             0.97584,              0.9898,             0.87518,            0.024924,            0.098435,           0.0021386,           0.0097921,           0.0097921,           0.0097921
                  23,            0.037204,             0.15676,           0.0035637,             0.99295,             0.98748,             0.99343,             0.88329,            0.024566,            0.095482,           0.0019703,           0.0097822,           0.0097822,           0.0097822
                  24,            0.036845,             0.15357,           0.0033631,             0.98984,             0.98212,             0.99288,             0.88784,            0.024344,            0.093106,           0.0021373,           0.0097723,           0.0097723,           0.0097723
                  25,            0.036916,             0.15402,           0.0032599,             0.99395,             0.98794,             0.99386,             0.89285,             0.02418,            0.093534,           0.0019074,           0.0097624,           0.0097624,           0.0097624
                  26,            0.036882,             0.15514,           0.0033522,             0.99355,             0.98798,             0.99363,             0.89059,            0.024152,             0.09344,           0.0018754,           0.0097525,           0.0097525,           0.0097525
                  27,            0.036802,             0.15278,           0.0032361,             0.99312,             0.98802,             0.99262,             0.89748,            0.023836,            0.092584,           0.0017466,           0.0097426,           0.0097426,           0.0097426
